iter	RMSE
0	16.8719937
1	16.28723448
2	15.77102162
3	15.36191379
4	15.00253772
5	14.69611081
6	14.39916007
7	14.13969391
8	13.90942906
9	13.66649772
10	13.45291225
11	13.24874319
12	13.03208246
13	12.85148266
14	12.69489636
15	12.54669491
16	12.44877643
17	12.32451438
18	12.2062298
19	12.0933333
20	11.97969233
21	11.87376954
22	11.74598446
23	11.6357115
24	11.57462052
25	11.49938376
26	11.41536505
27	11.34502281
28	11.26245338
29	11.14009576
30	11.03871598
31	10.96340446
32	10.91915919
33	10.87542
34	10.80669959
35	10.77033752
36	10.71960829
37	10.68103307
38	10.6351394
39	10.59743938
40	10.54398147
41	10.51115451
42	10.45711458
43	10.42465176
44	10.38408493
45	10.34117551
46	10.31032468
47	10.25704554
48	10.21058386
49	10.16456722
50	10.1318561
51	10.10784808
52	10.07852977
53	10.05675348
54	10.02305876
55	9.999888163
56	9.978480406
57	9.96001533
58	9.920924497
59	9.901385063
60	9.881176599
61	9.855774122
62	9.834440348
63	9.819779247
64	9.801234209
65	9.780104314
66	9.758082376
67	9.739597351
68	9.717117836
69	9.694241503
70	9.667884464
71	9.651699713
72	9.634529016
73	9.607022921
74	9.585362833
75	9.557048542
76	9.531733599
77	9.511497539
78	9.493371192
79	9.462495947
80	9.449884963
81	9.43059969
82	9.414087036
83	9.39058409
84	9.376443572
85	9.359365182
86	9.335514499
87	9.311228282
88	9.295183094
89	9.277719181
90	9.260039545
91	9.247551474
92	9.235628064
93	9.2251196
94	9.207204948
95	9.188184287
96	9.173633339
97	9.154784916
98	9.131365229
99	9.121277881
100	9.111573904
101	9.098096214
102	9.078486779
103	9.067002289
104	9.058906211
105	9.039775758
106	9.023449149
107	9.014227072
108	8.999658099
109	8.986658654
110	8.973942945
111	8.963610341
112	8.950718572
113	8.941865298
114	8.930652778
115	8.912645499
116	8.902857515
117	8.896183061
118	8.877243102
119	8.865033819
120	8.852832017
121	8.835555172
122	8.822906067
123	8.812211501
124	8.802558784
125	8.789809812
126	8.775797581
127	8.757566479
128	8.745200492
129	8.731226976
130	8.712818848
131	8.702147567
132	8.691665524
133	8.680554387
134	8.667988594
135	8.651195746
136	8.640060589
137	8.623391603
138	8.61082349
139	8.59117727
140	8.579712772
141	8.571793664
142	8.557850502
143	8.547117076
144	8.532869784
145	8.519695009
146	8.512619414
147	8.502721988
148	8.494268809
149	8.479982802
150	8.473432723
151	8.461717571
152	8.449385315
153	8.439037153
154	8.425856501
155	8.414017805
156	8.402829001
157	8.389610643
158	8.378813407
159	8.36478765
160	8.356190783
161	8.346981687
162	8.337214589
163	8.328077163
164	8.319824679
165	8.312204338
166	8.293958986
167	8.285324023
168	8.275933872
169	8.266654142
170	8.256734238
171	8.241538182
172	8.231906932
173	8.215365234
174	8.203844416
175	8.191252924
176	8.181434244
177	8.17641064
178	8.164986161
179	8.155847342
180	8.147714274
181	8.135449561
182	8.124000039
183	8.114384908
184	8.105401187
185	8.09505025
186	8.084416916
187	8.073339711
188	8.069849177
189	8.062966647
190	8.054795195
191	8.045255399
192	8.037475993
193	8.028287426
194	8.021101592
195	8.006650687
196	8.001304149
197	7.99401462
198	7.983554893
199	7.972654763
200	7.963466933
201	7.95273263
202	7.944204533
203	7.934579498
204	7.924932981
205	7.919265404
206	7.908284504
207	7.897538193
208	7.889524012
209	7.881741578
210	7.873459684
211	7.865798015
212	7.857999834
213	7.849773644
214	7.841145104
215	7.830501347
216	7.8224601
217	7.815916986
218	7.808483902
219	7.800999555
220	7.792324356
221	7.78018138
222	7.771779565
223	7.762715376
224	7.756491717
225	7.752272907
226	7.739552185
227	7.7318721
228	7.72562705
229	7.717774004
230	7.710917697
231	7.700001064
232	7.694646358
233	7.68646665
234	7.677881578
235	7.667346046
236	7.657542581
237	7.648929378
238	7.641713893
239	7.635384316
240	7.627063604
241	7.620480674
242	7.609590364
243	7.60579472
244	7.598641685
245	7.593365243
246	7.585045132
247	7.576340774
248	7.570897732
249	7.564225769
250	7.55806338
251	7.551305125
252	7.545367324
253	7.5390655
254	7.535329839
255	7.528808523
256	7.523551275
257	7.514352781
258	7.506305703
259	7.501960223
260	7.496984804
261	7.489984511
262	7.483420629
263	7.472944097
264	7.46592082
265	7.459501962
266	7.454673532
267	7.445556676
268	7.436955771
269	7.430964083
270	7.423358448
271	7.415551028
272	7.405714178
273	7.400568347
274	7.397527608
275	7.391938603
276	7.388966871
277	7.382532514
278	7.375885511
279	7.368287706
280	7.363982111
281	7.357637193
282	7.353596065
283	7.346247162
284	7.340210912
285	7.334010082
286	7.327172325
287	7.316310631
288	7.31104535
289	7.307040106
290	7.304545798
291	7.29749602
292	7.289026554
293	7.279373218
294	7.274124513
295	7.266897034
296	7.261706859
297	7.256579873
298	7.253393067
299	7.246530542
