iter	Passed	Remaining
0	5	1720
1	10	1512
2	14	1424
3	18	1359
4	22	1338
5	26	1319
6	31	1300
7	35	1285
8	39	1267
9	43	1256
10	47	1246
11	51	1233
12	55	1227
13	59	1224
14	64	1218
15	68	1212
16	72	1206
17	76	1199
18	80	1194
19	85	1191
20	89	1187
21	93	1183
22	97	1177
23	101	1171
24	106	1166
25	110	1161
26	114	1157
27	118	1154
28	123	1150
29	127	1145
30	131	1140
31	135	1136
32	139	1132
33	144	1127
34	148	1123
35	152	1118
36	156	1113
37	160	1109
38	164	1103
39	168	1098
40	173	1094
41	177	1090
42	181	1087
43	186	1082
44	190	1078
45	194	1074
46	198	1069
47	203	1065
48	207	1061
49	211	1058
50	216	1054
51	220	1050
52	224	1045
53	228	1041
54	232	1037
55	237	1033
56	241	1028
57	245	1024
58	249	1021
59	254	1016
60	258	1012
61	262	1007
62	266	1002
63	270	997
64	274	993
65	279	989
66	283	985
67	287	982
68	291	976
69	295	972
70	300	968
71	304	963
72	308	959
73	312	955
74	317	951
75	321	947
76	325	943
77	330	939
78	334	935
79	338	931
80	343	927
81	347	923
82	351	918
83	355	914
84	359	910
85	364	906
86	368	902
87	372	898
88	377	894
89	381	890
90	385	886
91	390	881
92	394	877
93	398	873
94	402	869
95	406	864
96	411	860
97	415	856
98	419	852
99	423	847
100	428	843
101	432	838
102	436	835
103	440	830
104	445	826
105	449	822
106	453	818
107	457	813
108	461	809
109	466	804
110	470	800
111	474	796
112	478	792
113	482	787
114	487	783
115	491	779
116	495	774
117	499	770
118	503	765
119	507	761
120	511	757
121	516	753
122	520	749
123	524	745
124	529	740
125	533	736
126	537	732
127	541	727
128	545	723
129	550	719
130	554	715
131	558	710
132	562	706
133	566	702
134	570	697
135	575	693
136	579	689
137	583	685
138	587	680
139	591	676
140	596	672
141	600	668
142	604	663
143	609	659
144	613	655
145	617	651
146	621	647
147	626	643
148	630	638
149	634	634
150	638	630
151	642	625
152	646	621
153	651	617
154	655	613
155	659	608
156	664	604
157	668	600
158	672	596
159	677	592
160	681	588
161	685	584
162	689	579
163	694	575
164	698	571
165	702	567
166	706	562
167	711	559
168	716	555
169	721	551
170	725	547
171	729	542
172	733	538
173	738	534
174	742	530
175	746	525
176	750	521
177	754	517
178	758	512
179	762	508
180	766	504
181	771	499
182	775	495
183	779	491
184	783	487
185	787	482
186	792	478
187	796	474
188	800	470
189	804	465
190	808	461
191	812	457
192	817	453
193	821	448
194	825	444
195	829	440
196	833	435
197	837	431
198	842	427
199	846	423
200	850	418
201	855	414
202	859	410
203	863	406
204	868	402
205	872	398
206	876	393
207	880	389
208	884	385
209	889	381
210	893	376
211	898	372
212	902	368
213	906	364
214	910	360
215	915	355
216	919	351
217	923	347
218	927	343
219	932	338
220	936	334
221	940	330
222	944	326
223	948	321
224	953	317
225	957	313
226	961	309
227	965	304
228	969	300
229	974	296
230	978	292
231	982	287
232	986	283
233	991	279
234	995	275
235	999	271
236	1003	266
237	1007	262
238	1012	258
239	1016	254
240	1020	249
241	1024	245
242	1029	241
243	1033	237
244	1037	232
245	1041	228
246	1046	224
247	1050	220
248	1054	216
249	1059	211
250	1063	207
251	1067	203
252	1071	199
253	1076	194
254	1080	190
255	1084	186
256	1089	182
257	1094	178
258	1098	173
259	1102	169
260	1106	165
261	1110	161
262	1114	156
263	1119	152
264	1123	148
265	1127	144
266	1131	139
267	1136	135
268	1140	131
269	1144	127
270	1148	122
271	1153	118
272	1157	114
273	1161	110
274	1165	105
275	1169	101
276	1173	97
277	1177	93
278	1181	88
279	1186	84
280	1190	80
281	1194	76
282	1198	72
283	1203	67
284	1207	63
285	1211	59
286	1215	55
287	1219	50
288	1224	46
289	1228	42
290	1232	38
291	1236	33
292	1241	29
293	1245	25
294	1249	21
295	1253	16
296	1258	12
297	1262	8
298	1266	4
299	1270	0
