model,fold,spearman,pearson
LinearRegression,0,0.24694364404377375,0.24437844637210898
LinearRegression,1,0.5110788615583456,0.5384365812875139
LinearRegression,2,0.44142341253339334,0.48235438601625746
LinearRegression,3,0.3521173074467763,0.38340444894123626
LinearRegression,4,0.3393535401083164,0.386259716898413
Ridge,0,0.2473014690866484,0.24465917427955583
Ridge,1,0.5112797808691402,0.5385913980357409
Ridge,2,0.44190750169918824,0.48285423802100524
Ridge,3,0.3519054747334942,0.3831516181081974
Ridge,4,0.33918305964022766,0.3862387574479549
Lasso,0,0.2526127687572116,0.2489460443618997
Lasso,1,0.515956758959578,0.5431168019216713
Lasso,2,0.44585201708664274,0.4880778767359297
Lasso,3,0.34763958544073786,0.378803876484092
Lasso,4,0.33749537813846514,0.38635605397660044
ElasticNet,0,0.261040847926546,0.25429772205051226
ElasticNet,1,0.5186880593432011,0.5459565718228985
ElasticNet,2,0.45457602866867697,0.4983524648101174
ElasticNet,3,0.34207936703932224,0.3721025425918608
ElasticNet,4,0.3326370604595174,0.38524689759585895
BayesianRidge,0,0.24826875839839999,0.24548309933634005
BayesianRidge,1,0.512197228677917,0.5395823717934265
BayesianRidge,2,0.44326540833144185,0.48467983269044357
BayesianRidge,3,0.3503887616246561,0.3815596427439619
BayesianRidge,4,0.3382507601965317,0.38613362305376664
SGD,0,0.24109932818641827,0.235299477485808
SGD,1,0.5191256161358669,0.5464607886421384
SGD,2,0.44444014432767487,0.48490023253225645
SGD,3,0.3407131074325091,0.37066604282954796
SGD,4,0.3390430256697976,0.3849470569865584
LinearSVR,0,0.2899409625965449,0.28575033831971264
LinearSVR,1,0.5339564644640087,0.5606309757128956
LinearSVR,2,0.4297643049114364,0.4605394366985927
LinearSVR,3,0.3782158133208743,0.4067498050637286
LinearSVR,4,0.3715263123810461,0.41030101215664555
KNN_5,0,0.3996336771359043,0.4991945049972415
KNN_5,1,0.37762678530932536,0.37987059753645264
KNN_5,2,0.31591570030246463,0.35408657028733675
KNN_5,3,0.3079012610417023,0.3842918213483436
KNN_5,4,0.2716016144723237,0.3130106117085243
KNN_10,0,0.42558649017554,0.5283196854997918
KNN_10,1,0.3843874924351893,0.3737015434446066
KNN_10,2,0.30566245362752786,0.33755460044622254
KNN_10,3,0.3154862658214126,0.38427280228187805
KNN_10,4,0.2650768426548666,0.2815310651892303
DecisionTree,0,0.24978508960351217,0.3576635875529579
DecisionTree,1,0.4336791813761123,0.45065331455954094
DecisionTree,2,0.39930558943793976,0.44908006680438767
DecisionTree,3,0.14592751067982235,0.1979570615041416
DecisionTree,4,0.3706756377738994,0.3890675328700358
RandomForest,0,0.2844571486521361,0.43060491929295486
RandomForest,1,0.5129565077325614,0.5310342088357667
RandomForest,2,0.5306993004895627,0.5576411114507019
RandomForest,3,0.20411517890172398,0.31301546999421725
RandomForest,4,0.42157273617442065,0.49828969958080965
ExtraTrees,0,0.3486881807448599,0.45029856678220825
ExtraTrees,1,0.5704496450771795,0.6116848815075713
ExtraTrees,2,0.5922699879773049,0.6345439976191993
ExtraTrees,3,0.31750879129598186,0.40726772342267115
ExtraTrees,4,0.4093108408317341,0.5037905415291837
GradientBoosting,0,0.35851648569569894,0.4401585959485853
GradientBoosting,1,0.6441484200600328,0.6615901961511784
GradientBoosting,2,0.6322891291500222,0.665588477982143
GradientBoosting,3,0.40746088931899715,0.4149790411022914
GradientBoosting,4,0.4048187280255988,0.49731815600630047
AdaBoost,0,0.1517222200777261,0.11628480991370908
AdaBoost,1,0.5775173706630684,0.461989243874547
AdaBoost,2,0.3722734028996804,0.3556241709323731
AdaBoost,3,0.293858147987143,0.2961416512411027
AdaBoost,4,0.24102245077300494,-0.047362406573621785
Bagging,0,0.27658918734733196,0.42061450026914954
Bagging,1,0.4937929082406282,0.5166992343970269
Bagging,2,0.5217115160644694,0.5601000660651966
Bagging,3,0.17552449682470928,0.2968641308328094
Bagging,4,0.41897202722077875,0.4964643997850525
XGBoost,0,0.3741506491736695,0.4746829723994392
XGBoost,1,0.6156444371599485,0.6279280373080854
XGBoost,2,0.6219424870173724,0.6523747406294866
XGBoost,3,0.3565716157602502,0.39714309195435893
XGBoost,4,0.3920092609282624,0.4886655161255356
LightGBM,0,0.3766441193698906,0.46501932073853103
LightGBM,1,0.6215566505836969,0.641425775388264
LightGBM,2,0.628557246055219,0.6540603489769334
LightGBM,3,0.42344925607550793,0.4386576387309863
LightGBM,4,0.40575584886006283,0.5054770061994474
CatBoost,0,0.36555440434179226,0.40725570121034926
CatBoost,1,0.5542153214539483,0.5841500730645862
CatBoost,2,0.6287838502145898,0.6479474927604143
CatBoost,3,0.40976955325775044,0.44085428541558974
CatBoost,4,0.4271085806439912,0.5043344452849948
MLP,0,0.2710121108894885,0.32059190383384867
MLP,1,0.38248755346468544,0.4009309665148928
MLP,2,0.5919424458530396,0.6065836657412877
MLP,3,0.5045261160549634,0.549055399898688
MLP,4,0.37988187134930435,0.4034536554618648
