model,fold,spearman,pearson
LinearRegression,0,0.27413832089406875,0.23061690310761312
LinearRegression,1,0.5798819775150807,0.5919863153566322
LinearRegression,2,0.6504765014546589,0.64002942584436
LinearRegression,3,0.3688653790001568,0.34236083293825764
LinearRegression,4,0.4471760366311084,0.4377744693476792
Ridge,0,0.2739948229148601,0.2306093153856535
Ridge,1,0.5803351954710059,0.5925024350746856
Ridge,2,0.6505824839876534,0.6402916784581323
Ridge,3,0.36861776199842095,0.3423071563413543
Ridge,4,0.4471841286434045,0.43798270360064573
Lasso,0,0.26787090815271386,0.22986797446432955
Lasso,1,0.5894596169316342,0.603640048337049
Lasso,2,0.6505856342806586,0.6464023073182547
Lasso,3,0.36668461022724025,0.35008086955221696
Lasso,4,0.45125867895532423,0.4473595213678781
ElasticNet,0,0.2667376213083291,0.2307984677946553
ElasticNet,1,0.5966873241345854,0.6119022340966531
ElasticNet,2,0.6511488261267732,0.6505048585206648
ElasticNet,3,0.3608615648115187,0.34538946892548067
ElasticNet,4,0.45058747176147224,0.450251004226605
BayesianRidge,0,0.2700286905508143,0.23067914738973105
BayesianRidge,1,0.5905752685785299,0.6047587817436366
BayesianRidge,2,0.6512046851114337,0.6468085336151803
BayesianRidge,3,0.3619384669561072,0.3415689106242856
BayesianRidge,4,0.4481215322462864,0.44377323421653
SGD,0,0.19403443272608117,0.14603844332791124
SGD,1,0.5609696895543231,0.5767358648402718
SGD,2,0.6474495197334467,0.6458564769226115
SGD,3,0.3586699453578562,0.35662312923242
SGD,4,0.42855788887453916,0.4171330904714782
LinearSVR,0,0.3204294644929437,0.2486895976254488
LinearSVR,1,0.6057276712113313,0.6041442963942764
LinearSVR,2,0.6630576499910703,0.6368296057429285
LinearSVR,3,0.41235186156061776,0.3778975789349208
LinearSVR,4,0.44889883762457045,0.3991469623707047
KNN_5,0,0.011751415646967588,-0.01219883076662688
KNN_5,1,0.32924697905424083,0.34941028413151426
KNN_5,2,0.3739073746043469,0.39351009615866495
KNN_5,3,-0.12322564724942783,-0.11300899317589544
KNN_5,4,0.2751912813903732,0.33603292194906387
KNN_10,0,0.011915744429586959,-0.02600577823314508
KNN_10,1,0.3540730034339858,0.36443491379011705
KNN_10,2,0.44500281014960325,0.44092950061661557
KNN_10,3,-0.13773764865466934,-0.13375131706287074
KNN_10,4,0.295460713769742,0.34871712166631674
DecisionTree,0,0.38301491751276895,0.4931615528678823
DecisionTree,1,0.4276415865855503,0.4897943289979816
DecisionTree,2,0.42481696236860267,0.5005404244181777
DecisionTree,3,0.37844502769274513,0.4473318345129167
DecisionTree,4,0.33729757635442387,0.3979437436615088
RandomForest,0,0.4272206595958469,0.5649288349821122
RandomForest,1,0.6722784900703549,0.6793174040365797
RandomForest,2,0.5973603874730579,0.6649343241270784
RandomForest,3,0.4423537052543603,0.5150735988887084
RandomForest,4,0.3283366589429169,0.47184851180702575
ExtraTrees,0,0.4551130523287464,0.595957933156956
ExtraTrees,1,0.6774634844670643,0.707520934466755
ExtraTrees,2,0.5884825105930527,0.6524161594643361
ExtraTrees,3,0.34736438712509043,0.4651453335304124
ExtraTrees,4,0.4105479607088135,0.5033599017035855
GradientBoosting,0,0.6130082366784265,0.6516738897905615
GradientBoosting,1,0.7156393587913087,0.7254819020009098
GradientBoosting,2,0.7056060596778293,0.7246157419365793
GradientBoosting,3,0.5634304328941644,0.5787726861769689
GradientBoosting,4,0.47580240553715386,0.4959811843950398
AdaBoost,0,0.10382862681916225,0.09492762429911235
AdaBoost,1,0.6121403230835053,0.543781973171825
AdaBoost,2,0.5736248459080536,0.5499425672497564
AdaBoost,3,0.32005876735267264,0.31201177261688423
AdaBoost,4,0.27770424314784464,0.2053145117043776
Bagging,0,0.4194061555757754,0.5611155778436153
Bagging,1,0.6784188131674458,0.681652850694876
Bagging,2,0.5935870409448382,0.6632422900673652
Bagging,3,0.4220248913797458,0.507232923074128
Bagging,4,0.3374248205243717,0.47497303482416536
XGBoost,0,0.5982835239933869,0.6456894288125106
XGBoost,1,0.7594689210809968,0.7559077068009006
XGBoost,2,0.7184044753312863,0.7376206895749271
XGBoost,3,0.6023475465974991,0.6148647190728216
XGBoost,4,0.4916722710997783,0.5192152424062784
LightGBM,0,0.5787507235327336,0.6267209050104389
LightGBM,1,0.7518630021714549,0.7524881485421377
LightGBM,2,0.7132899446250902,0.7320291743480487
LightGBM,3,0.5740112745362012,0.5981686977465306
LightGBM,4,0.447804670018404,0.48391470679498266
CatBoost,0,0.49819098591741,0.4592629998370957
CatBoost,1,0.76771121698393,0.7570429374220526
CatBoost,2,0.7330729880060083,0.719316377662319
CatBoost,3,0.6597347817261118,0.6555415920838217
CatBoost,4,0.5435244579425342,0.5085219872328925
MLP,0,0.44778849101199053,0.4286214172661625
MLP,1,0.6494465045941888,0.6533770023368969
MLP,2,0.6643980879714722,0.6719514923335238
MLP,3,0.478146105496987,0.46778163011870255
MLP,4,0.5752961373964076,0.5336389898992049
