model,mean_spearman,std_spearman,mean_pearson,std_pearson
LightGBM,0.49119262418887544,0.12336306697766908,0.5409280180068323,0.10046996887850239
GradientBoosting,0.4894467304500699,0.13726149274860258,0.5359268934380997,0.12030583584140171
CatBoost,0.4770863419824144,0.11003375989286683,0.5169083995471868,0.09957250305963569
XGBoost,0.4720636900079006,0.13454848488597354,0.5281588716833812,0.10836050939218368
ExtraTrees,0.4476454891854121,0.1266834249723097,0.5215171421721667,0.09917728924082174
MLP,0.4259700195222963,0.12424240651734442,0.45612311829011637,0.11775370623516247
LinearSVR,0.4006807715347821,0.08975832044887709,0.42479431359031505,0.09949648201832965
RandomForest,0.3907601743900809,0.14282944766524686,0.46611708183089007,0.09788663844520085
ElasticNet,0.38180427268745276,0.1032135978987388,0.4111912397742496,0.11464661455332029
Lasso,0.3799113016765271,0.10234993297256278,0.40906013069603864,0.11322812366033258
BayesianRidge,0.3784741834457893,0.10178399070687402,0.4074877139235877,0.11267362053404638
Ridge,0.3783154572057398,0.10138658230555123,0.4070990371784909,0.1122769239733751
LinearRegression,0.37818335313812107,0.10133061683379474,0.40696671590310596,0.11223472271375133
Bagging,0.37731802713958346,0.14749395016152445,0.458148466269847,0.10333424816023479
SGD,0.37688424435045337,0.10720804529509029,0.4044547196952618,0.11913534709415935
KNN_10,0.3392399089429073,0.06458691402675966,0.38107593937234585,0.09158140004861788
KNN_5,0.33453580765234403,0.052705277508112755,0.38609082117557975,0.06928087753340724
AdaBoost,0.3272787184801246,0.1612614856797042,0.236535493877622,0.2022514803780061
DecisionTree,0.3198746017742572,0.11938555148631746,0.3688843126582128,0.1035216413269548
