model,mean_spearman,std_spearman,mean_pearson,std_pearson
CatBoost,0.6404468861151988,0.11702406355534162,0.6199371788476362,0.1305482910233496
XGBoost,0.6340353476205894,0.1065378879137971,0.6546595573334877,0.09636258614905173
GradientBoosting,0.6146972987157765,0.10046969459093896,0.6353050808600118,0.09872088296505131
LightGBM,0.6131439229767768,0.12178211434300196,0.6386643264884276,0.10886097021181781
MLP,0.5630150652942092,0.09795361080187658,0.551074106390898,0.10875833981329047
ExtraTrees,0.4957942790445535,0.1346738080312569,0.5848800524644091,0.10087934504387883
RandomForest,0.4935099802673074,0.13877729619755605,0.5792205347683008,0.09112363895261684
Bagging,0.49017234431843537,0.14063700379777638,0.5776433353008299,0.09208303843012412
LinearSVR,0.4900930969761067,0.1412573062119777,0.45334160821365577,0.16349357986588722
ElasticNet,0.46520456162853574,0.15996345913755977,0.45776920671281174,0.17685125583886363
Lasso,0.4651718897095143,0.15704035690748464,0.45547014420794574,0.17355001570725304
BayesianRidge,0.4643737286886343,0.15760690461766072,0.45351772151787273,0.1750140835419876
Ridge,0.46414287860306896,0.15315785250814828,0.4487386577720943,0.17057575183414536
LinearRegression,0.46410764309901464,0.15295682350056866,0.44855358931890843,0.17038590977804557
SGD,0.43793629524924926,0.1767004772358424,0.4284774009589386,0.19640374825392107
DecisionTree,0.39024321410281815,0.03737869835965318,0.4657543768916934,0.04323428541549426
AdaBoost,0.37747136126224773,0.21311718671351174,0.3411956898083911,0.20284219033757975
KNN_10,0.19374292462564974,0.24603062146451404,0.1988648881554067,0.2596462778756518
KNN_5,0.17337428068930014,0.21735339268126327,0.19074909565934417,0.23497320251770581
