model,fold,spearman,pearson
LinearRegression,0,0.2956178616006543,0.24635302849864918
LinearRegression,1,0.5760225553005726,0.5999053652655832
LinearRegression,2,0.585871710240917,0.5666761966276189
LinearRegression,3,0.3051994417612694,0.28354412378051846
LinearRegression,4,0.428096067140017,0.43400446063722803
Ridge,0,0.2954142751182864,0.2463566848115845
Ridge,1,0.5761004803757461,0.600045915120978
Ridge,2,0.5858684820809441,0.5669034239274504
Ridge,3,0.3051537129607925,0.28367942844509014
Ridge,4,0.42817034076759514,0.4342532825302966
Lasso,0,0.28982903482150324,0.24813311053135628
Lasso,1,0.5825873442106704,0.6075946358679458
Lasso,2,0.5846953437239392,0.5726154099979257
Lasso,3,0.30515424218348086,0.29309220751282433
Lasso,4,0.4334345392335498,0.4449354794810144
ElasticNet,0,0.28598785741715743,0.24706315886305802
ElasticNet,1,0.583549674730981,0.6087157867799209
ElasticNet,2,0.5859529029459409,0.578743932047987
ElasticNet,3,0.3039638127750371,0.29373446860587304
ElasticNet,4,0.4342290437191209,0.44868548240783357
BayesianRidge,0,0.2859922666566097,0.24632059632424375
BayesianRidge,1,0.5815216598231956,0.6069008730043536
BayesianRidge,2,0.5858931891838816,0.5775605433731897
BayesianRidge,3,0.3028655867651244,0.29015803722665606
BayesianRidge,4,0.43205193242084805,0.44497817640957027
SGD,0,0.21818767151020946,0.16403187441514994
SGD,1,0.548261088243552,0.5745518346500926
SGD,2,0.5760927397737237,0.5650047086673882
SGD,3,0.3008811569477918,0.3062526848498141
SGD,4,0.43402927252066004,0.4558727116294377
LinearSVR,0,0.3243763220681409,0.23492468334384237
LinearSVR,1,0.5706069142359462,0.5822443888379881
LinearSVR,2,0.6132250249199751,0.5659397757786542
LinearSVR,3,0.34042869240682894,0.29709240550613714
LinearSVR,4,0.4221102647714886,0.39105332307953145
KNN_5,0,-0.0772729273937297,-0.10107947767628093
KNN_5,1,0.2898474142241454,0.29537184198296884
KNN_5,2,0.2635262563427956,0.32979699988374794
KNN_5,3,-0.07622135542940396,-0.08378578665980584
KNN_5,4,0.18791501166431393,0.195667960431514
KNN_10,0,-0.08596704729075719,-0.11756394953585667
KNN_10,1,0.3412901283886223,0.35034718233192386
KNN_10,2,0.3688970973499709,0.37762438255511704
KNN_10,3,-0.09051503022480954,-0.11601112608262314
KNN_10,4,0.2504025292956177,0.29142675161791187
DecisionTree,0,0.4244064544408038,0.5109057453862066
DecisionTree,1,0.5239923419013529,0.5770362858325957
DecisionTree,2,0.4527476721222412,0.5277506506786362
DecisionTree,3,0.3551186190064796,0.3931619450494479
DecisionTree,4,0.28553615517127934,0.3789872986481011
RandomForest,0,0.46482537797023743,0.6037831835695874
RandomForest,1,0.6547721300851358,0.6770135252728818
RandomForest,2,0.5966183752661323,0.6664679588120657
RandomForest,3,0.36785685134326956,0.47435949026655727
RandomForest,4,0.3553350893814841,0.481363676261276
ExtraTrees,0,0.4390415190087624,0.5204795383284994
ExtraTrees,1,0.5954053182278717,0.6269360928984191
ExtraTrees,2,0.45965177021015524,0.5284137701825947
ExtraTrees,3,0.39933785956777146,0.4285551381498663
ExtraTrees,4,0.3059817503742328,0.39868130978159627
GradientBoosting,0,0.5627973909059472,0.6055397411051774
GradientBoosting,1,0.7557781286458221,0.7584575636141548
GradientBoosting,2,0.7378522000980707,0.7518267785944106
GradientBoosting,3,0.5534147881500528,0.5705720285112493
GradientBoosting,4,0.54683179996081,0.5747928354871535
AdaBoost,0,0.07973436220003298,0.020437610287420166
AdaBoost,1,0.5577064888986668,0.5925286806290415
AdaBoost,2,0.48835691446212204,0.46523468554367714
AdaBoost,3,0.21948335885210382,0.14647253556242765
AdaBoost,4,0.43439840590685297,0.3847728404528723
Bagging,0,0.4495477201218836,0.5953184038452911
Bagging,1,0.6523236559186807,0.6766207821707428
Bagging,2,0.5958943080475422,0.666036954846136
Bagging,3,0.4139527185460383,0.49560550677103204
Bagging,4,0.3519354300077304,0.4810281404284857
XGBoost,0,0.6115794683715154,0.6604762184237862
XGBoost,1,0.7333965959973995,0.7418843312079825
XGBoost,2,0.7449988193310846,0.761854343327277
XGBoost,3,0.5933578136004768,0.6196553900323175
XGBoost,4,0.5920750833674266,0.6145317430549502
LightGBM,0,0.6065805292108257,0.6495372082118063
LightGBM,1,0.7641841249098973,0.7662297775772068
LightGBM,2,0.735959593416804,0.7554029601960781
LightGBM,3,0.5754951133539917,0.611065573874279
LightGBM,4,0.5499257148464358,0.5855288771376019
CatBoost,0,0.5363242155930242,0.5041670779531569
CatBoost,1,0.7544221418666376,0.7392678729358607
CatBoost,2,0.7754090780812506,0.7723537512375622
CatBoost,3,0.5956922746728848,0.5786418288049037
CatBoost,4,0.6121132308537132,0.5958279111338814
MLP,0,0.4104612497871911,0.3778261752502229
MLP,1,0.6427735108063151,0.6239677951722261
MLP,2,0.6522301887315085,0.6534914323891953
MLP,3,0.5044743702586545,0.4975276488300441
MLP,4,0.4970427687558779,0.4519654670387576
