model,mean_spearman,std_spearman,mean_pearson,std_pearson
XGBoost,0.6550815561335807,0.07728264250817281,0.6796804052092627,0.06862586234987901
CatBoost,0.6547921882135019,0.10467033427018363,0.6380516884130729,0.11348923714680251
LightGBM,0.6464290151475909,0.0972296219581306,0.6735528793993943,0.08294287789022
GradientBoosting,0.6313348615521406,0.10576124086324161,0.6522377894624292,0.09493199184879347
MLP,0.5413964176679095,0.10372552936238283,0.5209557037360891,0.11615915675537347
Bagging,0.49273076652837505,0.1264977171429759,0.5829219576123374,0.09198879950274652
RandomForest,0.4878815648092519,0.13433376573753725,0.5805975668364736,0.0979045811421937
LinearSVR,0.45414944368047594,0.13197288011489086,0.41425091530923064,0.1562477677554233
ExtraTrees,0.43988364347775877,0.10506207319341357,0.5006131698681952,0.09042606218946934
Lasso,0.43914010083462873,0.14321487226401844,0.4332741686782133,0.1611426283074384
ElasticNet,0.4387366583176474,0.14505142800636664,0.4353885657409345,0.16302011893156046
LinearRegression,0.43816152720868606,0.14046608798555396,0.4260966349619196,0.16020580833988934
Ridge,0.43814145826067286,0.1405455244231466,0.42624774696707995,0.16026574103976848
BayesianRidge,0.4376649269699319,0.1448044724966762,0.43318364526760267,0.16319895718101474
SGD,0.4154903857991874,0.15478089534428457,0.4131427628423765,0.17636787624252204
DecisionTree,0.4083602485284314,0.09154088449764096,0.47756838511899746,0.0871294731615698
AdaBoost,0.3559359060639557,0.19956806227303756,0.32188927049508775,0.2341965392785174
KNN_10,0.15682153550372885,0.22797136924082811,0.15716464817729459,0.25201642032245813
KNN_5,0.11755887988162425,0.18128017821845052,0.1271943075924288,0.20654400036196077
