feature,mean_abs_shap
GC_target_PAM,2.819556481745747
MFE_sgRNA,2.6786498178513907
Tm_target_PAM_proximal,2.3266317062195667
Tm_target_PAM,2.2112553043182372
GC_target_PAM_proximal,1.6156154490285715
GC_spacer,1.5958758758118752
MFE_spacer,1.233520723952359
Tm_target_5p_context,1.2104747257145736
GC_target,1.1264571910648602
Tm_spacer,1.1108059428205364
GC_target_PAM_distal,1.0788884964762178
Tm_target,1.0426874060020503
Tm_target_3p_context,0.8157379995311704
Tm_target_PAM_distal,0.5064683562177905
GC_target_5p_context,0.21670510163815002
GC_target_3p_context,0.1788169072339621
