feature,CatBoost,GradientBoosting,LightGBM,RandomForest,XGBoost,mean_across_models
GC_target_PAM,2.819556481745747,2.475684353455436,4.914644643108354,3.7095750500776425,4.866011536833501,3.757094413044136
MFE_sgRNA,2.6786498178513907,2.856488884431642,2.868522635963156,3.17528648433671,5.498245595706199,3.415438683657819
Tm_target_PAM,2.211255304318237,3.0194045319136693,2.005535064315027,3.0009351793228043,3.3099113455811784,2.7094082850901833
Tm_target_PAM_proximal,2.3266317062195667,2.407104732372331,2.657503052144188,0.7030429508291456,4.046278784292906,2.428112245171627
MFE_spacer,1.233520723952359,1.0286241098816915,1.1519641392675923,1.3094037077131675,3.827443672232711,1.7101912706095042
Tm_spacer,1.1108059428205364,1.3086996105066138,0.9990763183377231,0.7804542987770149,3.995374958820421,1.6388822258524616
GC_target_PAM_proximal,1.6156154490285717,1.58016238648896,1.6837514458815843,0.190147569174596,3.0013307876852773,1.614201527651798
GC_spacer,1.5958758758118752,1.6151995167511968,1.5289032093128658,0.6211058755118165,2.130359385618581,1.4982887726012672
Tm_target_5p_context,1.2104747257145736,1.0237348395585388,1.1910341985732302,0.876075776883904,3.083442229534545,1.4769523540529583
GC_target,1.1264571910648602,1.3653931242512167,1.7777268855218702,0.7172043383279774,1.8346334892538607,1.3642830056839572
Tm_target,1.0426874060020503,0.9127133191533686,1.4170801669874995,0.2986883507003336,1.685599461017392,1.0713537407721287
Tm_target_3p_context,0.8157379995311704,0.7872768463659481,0.9190840852902072,0.5993567167174944,1.421245529185871,0.9085402354181383
Tm_target_PAM_distal,0.5064683562177905,0.76146662328799,0.6982822156562076,0.5672120363132347,0.9970776496951042,0.7061013762340653
GC_target_PAM_distal,1.0788884964762178,0.4773697102733216,0.5902964768698995,0.6096806504780644,0.4564203165837793,0.6425311301362565
GC_target_5p_context,0.21670510163815,0.3546575929782947,0.2013015351888889,0.0761268400587416,0.3084744358855931,0.23145310114993367
GC_target_3p_context,0.1788169072339621,0.0866264827793127,0.2023387837968698,0.0955187870988975,0.2294712414275755,0.1585544404673235
