stratum,stratum_label,feature_set,r2,ci_lo,ci_hi
matched_NGG,"Matched, NGG",GC,0.13682705704283915,0.12108624227520412,0.153394885982506
matched_NGG,"Matched, NGG",positional,0.5494003890556938,0.5346205648148863,0.5644110353666679
matched_NGG,"Matched, NGG",PAM,0.014126232007386275,0.008202352123587173,0.019799491203300584
matched_NGG,"Matched, NGG",GC+positional,0.5612259394134038,0.5460494932646776,0.5761642682960446
matched_NGG,"Matched, NGG",GC+PAM,0.144271830270993,0.12738657545216842,0.16219884488325625
matched_NGG,"Matched, NGG",positional+PAM,0.5589985870210618,0.5444624168760062,0.5743040179946071
matched_NGG,"Matched, NGG",GC+positional+PAM,0.5721097519111085,0.5574161959460268,0.5864691357159315
matched_NGG,"Matched, NGG",DeepOC,0.6872170660946728,0.6714624054964415,0.7015606227476231
matched_nonNGG,"Matched, non-NGG",GC,-0.10535829000846109,-0.14182366980175404,-0.0788430419876389
matched_nonNGG,"Matched, non-NGG",positional,-0.06159988186942278,-0.08751104192298578,-0.04344790943045493
matched_nonNGG,"Matched, non-NGG",PAM,0.5531168869246915,0.4671658128943808,0.621131802646922
matched_nonNGG,"Matched, non-NGG",GC+positional,-0.07946999855151504,-0.10224913820603292,-0.06060562016854865
matched_nonNGG,"Matched, non-NGG",GC+PAM,0.3012327354303288,0.16810785886563345,0.4065092529712595
matched_nonNGG,"Matched, non-NGG",positional+PAM,0.32359630103371395,0.19480205189336786,0.4174651905919693
matched_nonNGG,"Matched, non-NGG",GC+positional+PAM,0.33342435262917947,0.2093603206604335,0.4253851858971361
matched_nonNGG,"Matched, non-NGG",DeepOC,0.6212945043102739,0.5447225226586091,0.687206253283814
matched_all,"Matched, all PAM",GC,0.003547136441758414,-0.01060029456930156,0.01834799837498915
matched_all,"Matched, all PAM",positional,-0.08670157070508733,-0.11291814513726764,-0.062052229206250704
matched_all,"Matched, all PAM",PAM,0.5358524165654084,0.5203555500180962,0.5505728562583121
matched_all,"Matched, all PAM",GC+positional,-0.0530114027475721,-0.07703718944257931,-0.029448981139279802
matched_all,"Matched, all PAM",GC+PAM,0.596512679013892,0.5829666991962825,0.6102222530690575
matched_all,"Matched, all PAM",positional+PAM,0.7785894119180082,0.7697387720787597,0.7867474032847726
matched_all,"Matched, all PAM",GC+positional+PAM,0.7882778902522514,0.7799575528927672,0.7963352620512024
matched_all,"Matched, all PAM",DeepOC,0.8505958650231468,0.8438138569124197,0.857332292110165
