subset,subset_label,n,feature_set,regressor,r2,ci_lo,ci_hi,is_primary
matched_NGG,"Matched, NGG PAM (on-target)",8807,DeepOC,raw,0.6872170660946728,0.6714624054964415,0.7015606227476231,1
matched_NGG,"Matched, NGG PAM (on-target)",8807,GC,RF,0.1302287193911793,0.11352436583614324,0.14709820096422285,0
matched_NGG,"Matched, NGG PAM (on-target)",8807,GC,GBM,0.13682705704283915,0.12108624227520412,0.153394885982506,1
matched_NGG,"Matched, NGG PAM (on-target)",8807,GC,lin,0.12122101909307548,0.10777250420068543,0.13491877258270382,0
matched_NGG,"Matched, NGG PAM (on-target)",8807,positional,RF,0.4150322715484749,0.40055662224889454,0.4302851100990414,0
matched_NGG,"Matched, NGG PAM (on-target)",8807,positional,GBM,0.5494003890556938,0.5346205648148863,0.5644110353666679,1
matched_NGG,"Matched, NGG PAM (on-target)",8807,positional,lin,0.4055793571471634,0.38787278663196256,0.42324934429979216,0
matched_NGG,"Matched, NGG PAM (on-target)",8807,PAM,RF,0.014189787268961918,0.008254668354790776,0.01986019568263464,0
matched_NGG,"Matched, NGG PAM (on-target)",8807,PAM,GBM,0.014126232007386275,0.008202352123587173,0.019799491203300584,1
matched_NGG,"Matched, NGG PAM (on-target)",8807,PAM,lin,0.015167528989955215,0.009739378268155175,0.020246755202858714,0
matched_NGG,"Matched, NGG PAM (on-target)",8807,features,RF,0.43553977692431145,0.42116705389543035,0.4507531852540271,0
matched_NGG,"Matched, NGG PAM (on-target)",8807,features,GBM,0.5721097519111085,0.5574161959460268,0.5864691357159315,1
matched_NGG,"Matched, NGG PAM (on-target)",8807,features,lin,0.4304782383167084,0.4126119307721014,0.44774085334895647,0
matched_NGG,"Matched, NGG PAM (on-target)",8807,DeepOC+features,RF,0.6928759937609299,0.6779394869840055,0.7070645015137873,0
matched_NGG,"Matched, NGG PAM (on-target)",8807,DeepOC+features,GBM,0.6981729754372354,0.6827342857192438,0.7121100342522974,1
matched_NGG,"Matched, NGG PAM (on-target)",8807,DeepOC+features,lin,0.6952975607163523,0.6803606573688117,0.7089360755206496,0
matched_NGG,"Matched, NGG PAM (on-target)",8807,DeepOC,RF,0.5719316620135475,0.5519966729986681,0.5910868142437468,0
matched_NGG,"Matched, NGG PAM (on-target)",8807,DeepOC,GBM,0.6926480541824109,0.6778613877198759,0.7066485775467817,0
matched_NGG,"Matched, NGG PAM (on-target)",8807,DeepOC,lin,0.694712773667574,0.6801933332879491,0.7080767967257208,0
matched_nonNGG,"Matched, non-NGG PAM (on-target)",1651,DeepOC,raw,0.6212945043102739,0.5447225226586091,0.687206253283814,1
matched_nonNGG,"Matched, non-NGG PAM (on-target)",1651,GC,RF,-0.11258881768538287,-0.15007923061181183,-0.08433116503731826,0
matched_nonNGG,"Matched, non-NGG PAM (on-target)",1651,GC,GBM,-0.10535829000846109,-0.14182366980175404,-0.0788430419876389,1
matched_nonNGG,"Matched, non-NGG PAM (on-target)",1651,GC,lin,-0.04859658080320406,-0.069953369204181,-0.031996611919119435,0
matched_nonNGG,"Matched, non-NGG PAM (on-target)",1651,positional,RF,-0.03373180932291864,-0.04672628447817802,-0.024741399850339105,0
matched_nonNGG,"Matched, non-NGG PAM (on-target)",1651,positional,GBM,-0.06159988186942278,-0.08751104192298578,-0.04344790943045493,1
matched_nonNGG,"Matched, non-NGG PAM (on-target)",1651,positional,lin,-0.006697194524638794,-0.012025314478205701,-0.0029034210322628684,0
matched_nonNGG,"Matched, non-NGG PAM (on-target)",1651,PAM,RF,0.5422584553380423,0.4526753729628049,0.61409843537724,0
matched_nonNGG,"Matched, non-NGG PAM (on-target)",1651,PAM,GBM,0.5531168869246915,0.4671658128943808,0.621131802646922,1
matched_nonNGG,"Matched, non-NGG PAM (on-target)",1651,PAM,lin,0.26515384063666425,0.2187726858665688,0.3014257958813923,0
matched_nonNGG,"Matched, non-NGG PAM (on-target)",1651,features,RF,0.41507588528382733,0.3036367748770092,0.5015496877440497,0
matched_nonNGG,"Matched, non-NGG PAM (on-target)",1651,features,GBM,0.33342435262917947,0.2093603206604335,0.4253851858971361,1
matched_nonNGG,"Matched, non-NGG PAM (on-target)",1651,features,lin,0.25709993681269405,0.2095946537356044,0.29344749923164776,0
matched_nonNGG,"Matched, non-NGG PAM (on-target)",1651,DeepOC+features,RF,0.5722902325307666,0.48373230433476855,0.6457495625425199,0
matched_nonNGG,"Matched, non-NGG PAM (on-target)",1651,DeepOC+features,GBM,0.5010310551964685,0.40203189648324983,0.583413324176572,1
matched_nonNGG,"Matched, non-NGG PAM (on-target)",1651,DeepOC+features,lin,0.623738167677149,0.5431086509498004,0.6896604446826505,0
matched_nonNGG,"Matched, non-NGG PAM (on-target)",1651,DeepOC,RF,0.47323317162733747,0.35580326737323903,0.5685413695972845,0
matched_nonNGG,"Matched, non-NGG PAM (on-target)",1651,DeepOC,GBM,0.5817330793588912,0.49567842426133407,0.6522152079562643,0
matched_nonNGG,"Matched, non-NGG PAM (on-target)",1651,DeepOC,lin,0.6374701085148983,0.5571441916341128,0.7039828225969346,0
matched_all,"Matched, all PAM (on-target)",10458,DeepOC,raw,0.8505958650231468,0.8438138569124197,0.857332292110165,1
matched_all,"Matched, all PAM (on-target)",10458,GC,RF,0.00243488108837131,-0.011460946207678324,0.01724843249497684,0
matched_all,"Matched, all PAM (on-target)",10458,GC,GBM,0.003547136441758414,-0.01060029456930156,0.01834799837498915,1
matched_all,"Matched, all PAM (on-target)",10458,GC,lin,0.054241164910561745,0.044775373977978664,0.06443695467547712,0
matched_all,"Matched, all PAM (on-target)",10458,positional,RF,-0.14055948394369389,-0.16305792929685736,-0.11855366114980051,0
matched_all,"Matched, all PAM (on-target)",10458,positional,GBM,-0.08670157070508733,-0.11291814513726764,-0.062052229206250704,1
matched_all,"Matched, all PAM (on-target)",10458,positional,lin,-0.15585664838615187,-0.1793118409866868,-0.131878606323976,0
matched_all,"Matched, all PAM (on-target)",10458,PAM,RF,0.5357507816024609,0.5201246036974468,0.5504409079037506,0
matched_all,"Matched, all PAM (on-target)",10458,PAM,GBM,0.5358524165654084,0.5203555500180962,0.5505728562583121,1
matched_all,"Matched, all PAM (on-target)",10458,PAM,lin,0.49560194964606274,0.48137958627288624,0.5094337363656974,0
matched_all,"Matched, all PAM (on-target)",10458,features,RF,0.7324410577268772,0.7227088460584166,0.7420065009149693,0
matched_all,"Matched, all PAM (on-target)",10458,features,GBM,0.7882778902522514,0.7799575528927672,0.7963352620512024,1
matched_all,"Matched, all PAM (on-target)",10458,features,lin,0.6215207224427133,0.6102175195920087,0.631625274004806,0
matched_all,"Matched, all PAM (on-target)",10458,DeepOC+features,RF,0.852815735648308,0.8457239908603487,0.8595844025782293,0
matched_all,"Matched, all PAM (on-target)",10458,DeepOC+features,GBM,0.8544393909141911,0.8473622719439893,0.8612389047633415,1
matched_all,"Matched, all PAM (on-target)",10458,DeepOC+features,lin,0.8534124302234172,0.8466292374611787,0.8601161398332523,0
matched_all,"Matched, all PAM (on-target)",10458,DeepOC,RF,0.7959297251289339,0.7871769579199774,0.8045250585392429,0
matched_all,"Matched, all PAM (on-target)",10458,DeepOC,GBM,0.8539090225844794,0.8468733273212706,0.860690411447139,0
matched_all,"Matched, all PAM (on-target)",10458,DeepOC,lin,0.8525842351384102,0.845842455842389,0.8592877892536986,0
